,Provider_ID,Provider_Name,Provider_Street,Provider_City,Provider_State,Provider_Zip,Provider_Hospital_Referral_Region,APC,APC_Description,Beneficiaries,Comprehensive_APC_Services,Avg_Est_Total_submitted_amt,Avg_Medicare_Allowed,Avg_Medicare_pymt
10903,100062,Munroe Regional Medical Center,1500 Sw 1st Ave,Ocala,FL,34474,FL - Ocala,5302,Level 2 Upper GI Procedures,73.0,80,7170.849875,1163.787375,925.425000000001
10925,100063,Morton Plant North Bay Hospital,6600 Madison St,New Port Richey,FL,34652,FL - Hudson,5302,Level 2 Upper GI Procedures,13.0,15,10029.998,1234.19,983.34
10949,100067,St Anthonys Hospital,1200 Seventh Ave N,Saint Petersburg,FL,33705,FL - St. Petersburg,5302,Level 2 Upper GI Procedures,170.0,195,9599.97420512815,1230.37825641025,977.175333333328
10982,100068,Florida Hospital Memorial Medical Center,301 Memorial Medical Parkway,Daytona Beach,FL,32117,FL - Ormond Beach,5302,Level 2 Upper GI Procedures,115.0,130,10000.4235384615,1195.397,949.336615384615
11001,100069,Florida Hospital Carrollwood,7171 N Dale Mabry Hwy,Tampa,FL,33614,FL - Tampa,5302,Level 2 Upper GI Procedures,20.0,22,19642.8918181818,1234.19,983.34
11028,100070,Venice Regional Medical Center - Bayfront Health,540 The Rialto,Venice,FL,34285,FL - Sarasota,5302,Level 2 Upper GI Procedures,71.0,88,20287.3969318181,1278.8,1018.88
11070,100072,Florida Hospital Fish Memorial,1055 Saxon Blvd,Orange City,FL,32763,FL - Orlando,5302,Level 2 Upper GI Procedures,30.0,44,10247.1454545454,1210.23636363636,963.941818181818
11096,100073,Holy Cross Hospital,4725 N Federal Hwy,Fort Lauderdale,FL,33308,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,65.0,89,5563.9853932584,1273.83337078651,1012.58337078651
11128,100075,St Josephs Hospital,3001 W Martin Luther King Jr Blvd,Tampa,FL,33677,FL - Tampa,5302,Level 2 Upper GI Procedures,85.0,96,11733.1488541666,1234.19,983.339999999998
11163,100077,Bayfront Health Port Charlotte,2500 Harbor Blvd,Port Charlotte,FL,33952,FL - Fort Myers,5302,Level 2 Upper GI Procedures,151.0,158,29547.7158227848,1240.83778481012,982.97993670886
11191,100079,Univ Of Miami Hospital And Clinics-Sylvester Compr,1475 Nw 12th Ave,Miami,FL,33136,FL - Miami,5302,Level 2 Upper GI Procedures,169.0,201,14674.5024875621,1260.20970149254,1000.76686567163
11230,100080,Jfk Medical Center,5301 S Congress Ave,Atlantis,FL,33462,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,67.0,72,21780.8177777777,1256.91277777777,994.674861111109
11265,100084,Leesburg Regional Medical Center,600 E Dixie Ave,Leesburg,FL,34748,FL - Orlando,5302,Level 2 Upper GI Procedures,52.0,59,5978.01796610167,1208.92661016949,963.212881355932
11287,100086,Broward Health North,201 E Sample Rd,Pompano Beach,FL,33064,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,35.0,39,5913.05641025641,1285.42384615384,1019.97948717948
11321,100087,Sarasota Memorial Hospital,1700 S Tamiami Trl,Sarasota,FL,34239,FL - Sarasota,5302,Level 2 Upper GI Procedures,422.0,470,12509.5882765957,1265.85812765957,1005.26246808511
11368,100088,Baptist Medical Center Jacksonville,800 Prudential Dr,Jacksonville,FL,32207,FL - Jacksonville,5302,Level 2 Upper GI Procedures,368.0,415,6888.81460240966,1236.04219277107,983.749421686737
11406,100090,Flagler Hospital,400 Health Park Blvd,Saint Augustine,FL,32086,FL - Jacksonville,5302,Level 2 Upper GI Procedures,178.0,210,9178.676,1249.48204761904,993.028095238095
11437,100092,Steward Rockledge Hospital,110 Longwood Ave,Rockledge,FL,32955,FL - Orlando,5302,Level 2 Upper GI Procedures,55.0,56,19344.4951785714,1197.25142857142,949.325892857143
11471,100093,Baptist Hospital,1000 W Moreno St,Pensacola,FL,32501,FL - Pensacola,5302,Level 2 Upper GI Procedures,58.0,60,9708.733,1171.07,933.050000000001
11516,100105,Indian River Medical Center,1000 36th St,Vero Beach,FL,32960,FL - Orlando,5302,Level 2 Upper GI Procedures,209.0,241,8466.16215767635,1242.09950207469,987.656307053942
11553,100109,Florida Hospital Heartland Medical Center,4200 Sun N Lake Blvd,Sebring,FL,33871,FL - Orlando,5302,Level 2 Upper GI Procedures,157.0,163,10730.9141104294,1171.07,933.05
11606,100113,Uf Health Shands Hospital,1600 Sw Archer Rd,Gainesville,FL,32610,FL - Gainesville,5302,Level 2 Upper GI Procedures,271.0,321,9517.20894081,1298.47925233644,1033.22158878505
11643,100117,Baptist Medical Center - Beaches,1350 13th Ave S,Jacksonville Beach,FL,32250,FL - Jacksonville,5302,Level 2 Upper GI Procedures,52.0,55,5809.4,1239.55,987.61
11667,100118,Florida Hospital Flagler,60 Memorial Medical Pkwy,Palm Coast,FL,32164,FL - Ormond Beach,5302,Level 2 Upper GI Procedures,50.0,60,8335.17983333335,1171.07,933.050000000001
11693,100122,North Okaloosa Medical Center,151 Redstone Ave Se,Crestview,FL,32539,FL - Pensacola,5302,Level 2 Upper GI Procedures,51.0,51,27099.6950980392,1171.59078431372,925.401176470588
11712,100124,Santa Rosa Medical Center,6002 Berryhill Rd,Milton,FL,32570,FL - Pensacola,5302,Level 2 Upper GI Procedures,42.0,48,20394.544375,1135.07458333333,897.054583333333
11724,100125,Homestead Hospital,975 Baptist Way,Homestead,FL,33033,FL - Miami,5302,Level 2 Upper GI Procedures,14.0,15,19518.2333333333,1275.1,1015.93
11734,100126,Palms Of Pasadena Hospital,1501 Pasadena Ave S,Saint Petersburg,FL,33707,FL - St. Petersburg,5302,Level 2 Upper GI Procedures,28.0,29,19856.8165517241,1200.28172413793,949.431724137931
11764,100127,Morton Plant Hospital,300 Pinellas St,Clearwater,FL,33756,FL - Clearwater,5302,Level 2 Upper GI Procedures,108.0,143,9235.45608391608,1207.97139860139,957.121398601398
11805,100128,Tampa General Hospital,1 Tampa General Cir,Tampa,FL,33606,FL - Tampa,5302,Level 2 Upper GI Procedures,136.0,171,14587.0671345029,1234.20263157894,982.720935672514
11840,100131,Aventura Hospital And Medical Center,20900 Biscayne Blvd,Aventura,FL,33180,FL - Miami,5302,Level 2 Upper GI Procedures,18.0,19,26770.9210526315,1275.1,1015.93
11852,100132,South Florida Baptist Hospital,301 N Alexander St,Plant City,FL,33563,FL - Lakeland,5302,Level 2 Upper GI Procedures,,11,14221.1209090909,1178.0909090909,938.642727272727
11861,100134,Ed Fraser Memorial Hospital,159 N 3rd St,Macclenny,FL,32063,FL - Jacksonville,5302,Level 2 Upper GI Procedures,21.0,22,5142.80772727272,1184.70409090909,930.006363636363
11885,100135,Tallahassee Memorial Hospital,1300 Miccosukee Rd,Tallahassee,FL,32308,FL - Tallahassee,5302,Level 2 Upper GI Procedures,117.0,128,8904.9196875,1174.27390625,930.770078125
11913,100137,Heart Of Florida Regional Medical Center,40100 Us Hwy 27 N,Davenport,FL,33837,FL - Orlando,5302,Level 2 Upper GI Procedures,22.0,23,9068.28565217391,1156.63347826086,921.54652173913
11928,100140,Baptist Medical Center - Nassau,1250 S 18th St,Fernandina Beach,FL,32034,FL - Jacksonville,5302,Level 2 Upper GI Procedures,32.0,36,5672.53611111111,1239.55,987.61
11945,100142,Jackson Hospital,4250 Hospital Dr,Marianna,FL,32446,AL - Dothan,5302,Level 2 Upper GI Procedures,23.0,26,5977.31346153846,1254.21,999.29
11977,100151,Mayo Clinic,4500 San Pablo Rd,Jacksonville,FL,32224,FL - Jacksonville,5302,Level 2 Upper GI Procedures,567.0,682,7824.91494134894,1227.99951612904,976.538782991192
12018,100154,South Miami Hospital,6200 Sw 73rd St,South Miami,FL,33143,FL - Miami,5302,Level 2 Upper GI Procedures,11.0,12,9453.91666666666,1275.16416666666,1012.75916666666
12039,100156,Lake City Medical Center,340 Nw Commerce Dr,Lake City,FL,32055,FL - Gainesville,5302,Level 2 Upper GI Procedures,20.0,23,16217.4704347826,1194.23,951.5
12071,100157,Lakeland Regional Medical Center,1324 Lakeland Hills Blvd,Lakeland,FL,33805,FL - Lakeland,5302,Level 2 Upper GI Procedures,131.0,157,9852.91974522293,1227.82929936305,976.999108280254
12120,100166,Doctors Hospital Of Sarasota,5731 Bee Ridge Rd,Sarasota,FL,34233,FL - Sarasota,5302,Level 2 Upper GI Procedures,12.0,12,13325.57,1278.8,1018.88
12143,100167,Plantation General Hospital,401 Nw 42nd Ave,Plantation,FL,33317,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,23.0,25,10074.3568,1275.2168,1010.1908
12172,100168,Boca Raton Regional Hospital,800 Meadows Rd,Boca Raton,FL,33486,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,452.0,574,8617.81445993033,1278.46364111498,1016.70353658537
12209,100173,Florida Hospital Tampa,3100 E Fletcher Ave,Tampa,FL,33613,FL - Tampa,5302,Level 2 Upper GI Procedures,124.0,139,19565.9198561151,1222.6971942446,971.696258992805
12224,100175,Desoto Memorial Hospital,900 N Robert Ave,Arcadia,FL,34265,FL - Sarasota,5302,Level 2 Upper GI Procedures,15.0,15,4078.94666666666,1254.21,999.29
12245,100176,Palm Beach Gardens Medical Center,3360 Burns Rd,Palm Beach Gardens,FL,33410,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,12.0,16,10257.96,1285.465625,1017.9525
12266,100177,Cape Canaveral Hospital,701 W Cocoa Beach Causeway,Cocoa Beach,FL,32932,FL - Orlando,5302,Level 2 Upper GI Procedures,50.0,53,11915.6722641509,1198.82339622641,946.498867924528
12296,100179,Memorial Hospital Jacksonville,3625 University Blvd S,Jacksonville,FL,32216,FL - Jacksonville,5302,Level 2 Upper GI Procedures,81.0,87,22635.9206896551,1194.23551724137,937.658735632184
12312,100180,St Petersburg General Hospital,6500 38th Ave N,Saint Petersburg,FL,33710,FL - St. Petersburg,5302,Level 2 Upper GI Procedures,40.0,47,14154.9685106383,1234.25234042553,980.28744680851
12346,100187,Palmetto General Hospital,2001 W 68th St,Hialeah,FL,33016,FL - Miami,5302,Level 2 Upper GI Procedures,19.0,20,18558.7545,1275.246,1008.756
12379,100191,Medical Center Of Trinity,"9330 Sr 54, Ste 401",Trinity,FL,34655,FL - Hudson,5302,Level 2 Upper GI Procedures,22.0,28,40498.9657142857,1199.19035714285,942.359285714285
12396,100200,Broward Health Imperial Point,6401 N Federal Hwy,Fort Lauderdale,FL,33308,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,16.0,36,6815.94805555555,1285.34,1024.09
12426,100204,North Florida Regional Medical Center,6500 Newberry Rd,Gainesville,FL,32605,FL - Gainesville,5302,Level 2 Upper GI Procedures,90.0,109,15112.0894495412,1311.67559633027,1043.21091743119
12450,100206,Memorial Hospital Of Tampa,2901 W Swann Ave,Tampa,FL,33609,FL - Tampa,5302,Level 2 Upper GI Procedures,16.0,21,8274.5219047619,1140.53857142857,889.688571428571
12465,100209,Kendall Regional Medical Center,11750 Bird Rd,Miami,FL,33175,FL - Miami,5302,Level 2 Upper GI Procedures,12.0,15,11703.4666666666,1275.29466666666,1006.36466666666
12499,100212,Ocala Regional Medical Center,1431 Sw 1st Ave,Ocala,FL,34478,FL - Ocala,5302,Level 2 Upper GI Procedures,48.0,54,15013.7955555555,1128.64018518518,888.561481481481
12526,100213,Blake Medical Center,2020 59th St W,Bradenton,FL,34209,FL - Bradenton,5302,Level 2 Upper GI Procedures,29.0,33,12039.166060606,1278.8,1018.88
12551,100217,Sebastian River Medical Center,13695 Us Hwy 1,Sebastian,FL,32978,FL - Orlando,5302,Level 2 Upper GI Procedures,123.0,126,18262.4728571428,1246.335,992.266507936508
12579,100220,Gulf Coast Medical Center Lee Mem Health System,13681 Doctors Way,Fort Myers,FL,33912,FL - Fort Myers,5302,Level 2 Upper GI Procedures,84.0,93,8362.86827956989,1274.53236559139,1013.90849462365
12611,100223,Fort Walton Beach Medical Center,1000 Mar-Walt Dr,Fort Walton Beach,FL,32547,FL - Pensacola,5302,Level 2 Upper GI Procedures,13.0,13,21151.8461538461,1209.37,963.56
12643,100226,Orange Park Medical Center,2001 Kingsley Ave,Orange Park,FL,32073,FL - Jacksonville,5302,Level 2 Upper GI Procedures,75.0,87,17273.0550574712,1200.05333333333,947.878505747126
12665,100228,Westside Regional Medical Center,8201 W Broward Blvd,Plantation,FL,33324,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,24.0,24,9704.28333333333,1242.66958333333,981.419583333333
12703,100231,West Florida Hospital,8383 N Davis Hwy,Pensacola,FL,32514,FL - Pensacola,5302,Level 2 Upper GI Procedures,30.0,31,21067.0677419354,1171.07,933.05
12724,100232,Putnam Community Medical Center,611 Zeagler Dr,Palatka,FL,32177,FL - Gainesville,5302,Level 2 Upper GI Procedures,15.0,16,15884.75,1317.09,1049.39
12749,100236,Fawcett Memorial Hospital,21298 Olean Blvd,Port Charlotte,FL,33952,FL - Fort Myers,5302,Level 2 Upper GI Procedures,252.0,274,29670.2870072992,1262.75397810219,1002.32678832116
12770,100238,Northside Hospital,6000 49th St N,Saint Petersburg,FL,33709,FL - St. Petersburg,5302,Level 2 Upper GI Procedures,24.0,24,21089.6583333333,1234.19,983.34
12806,100242,Gulf Coast Regional Medical Center,449 W 23rd St,Panama City,FL,32405,FL - Panama City,5302,Level 2 Upper GI Procedures,169.0,200,16557.4075,1166.4312,927.08725
12835,100243,Brandon Regional Hospital,119 Oakfield Dr,Brandon,FL,33511,FL - Tampa,5302,Level 2 Upper GI Procedures,34.0,36,13225.03,1206.89166666666,955.204722222222
12855,100244,Cape Coral Hospital,636 Del Prado Blvd,Cape Coral,FL,33990,FL - Fort Myers,5302,Level 2 Upper GI Procedures,70.0,78,10846.4944871794,1281.39,1020.94
12907,100248,Largo Medical Center,201 14th St Sw,Largo,FL,33770,FL - Clearwater,5302,Level 2 Upper GI Procedures,48.0,58,23683.2131034482,1217.25637931034,965.384827586205
12928,100249,Seven Rivers Regional Medical Center,6201 N Suncoast Blvd,Crystal River,FL,34428,FL - Ocala,5302,Level 2 Upper GI Procedures,22.0,30,21204.4046666666,1179.296,937.810333333333
12943,100252,Raulerson Hospital,1796 Hwy 441 North,Okeechobee,FL,34972,FL - Orlando,5302,Level 2 Upper GI Procedures,26.0,30,16799.0643333333,1334.82,1063.52
12968,100253,Jupiter Medical Center,1210 S Old Dixie Hwy,Jupiter,FL,33458,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,138.0,162,7194.64919753086,1279.03851851851,1016.78654320987
12988,100254,Capital Regional Medical Center,2626 Capital Medical Blvd,Tallahassee,FL,32308,FL - Tallahassee,5302,Level 2 Upper GI Procedures,33.0,37,14411.2162162162,1163.49297297297,918.944054054054
13011,100256,Regional Medical Center Bayonet Point,14000 Fivay Rd,Hudson,FL,34667,FL - Hudson,5302,Level 2 Upper GI Procedures,33.0,35,24073.382,1234.19257142857,983.220571428571
13037,100258,Delray Medical Center,5352 Linton Blvd,Delray Beach,FL,33484,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,94.0,100,18897.4083,1264.8875,1002.1735
13057,100259,South Bay Hospital,4016 Sun City Center Blvd,Sun City Center,FL,33573,FL - Tampa,5302,Level 2 Upper GI Procedures,31.0,33,23347.1284848484,1234.22666666666,981.550909090909
13089,100264,Oak Hill Hospital,11375 Cortez Blvd,Brooksville,FL,34613,FL - Hudson,5302,Level 2 Upper GI Procedures,47.0,51,27189.6994117647,1214.90882352941,964.05882352941
13113,100265,Mease Countryside Hospital,3231 Mcmullen Booth Rd,Safety Harbor,FL,34695,FL - Clearwater,5302,Level 2 Upper GI Procedures,88.0,97,10243.4727835051,1224.0524742268,973.202474226802
13140,100266,Gulf Breeze Hospital,1110 Gulf Breeze Pkwy,Gulf Breeze,FL,32561,FL - Pensacola,5302,Level 2 Upper GI Procedures,13.0,18,8089.05555555555,1171.07,933.05
13169,100268,West Boca Medical Center,21644 State Rd 7,Boca Raton,FL,33428,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,11.0,12,13767.3333333333,1285.34,1024.09
13184,100269,Palms West Hospital,13001 Southern Blvd,Loxahatchee,FL,33470,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,12.0,13,18704.6376923076,1206.56384615384,945.313846153846
13204,100271,H Lee Moffitt Cancer Center & Research Institute I,12902 Magnolia Dr,Tampa,FL,33612,FL - Tampa,5302,Level 2 Upper GI Procedures,370.0,472,5812.68186440677,1226.16915254236,974.890762711873
13232,100275,Wellington Regional Medical Center Llc,10101 Forest Hill Blvd,Wellington,FL,33414,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,,13,15188.0769230769,1285.34,1024.09
13244,100276,Broward Health Coral Springs,3000 Coral Hills Dr,Coral Springs,FL,33065,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,32.0,39,6398.83051282051,1285.36897435897,1022.67358974358
13262,100281,Memorial Hospital West,703 N Flamingo Rd,Pembroke Pines,FL,33028,FL - Miami,5302,Level 2 Upper GI Procedures,68.0,71,11857.6366197183,1242.06859154929,980.818591549294
13275,100284,Westchester General Hospital,2500 Sw 75th Ave,Miami,FL,33155,FL - Miami,5302,Level 2 Upper GI Procedures,,11,10395.8563636363,1275.36545454545,1002.88636363636
13310,100286,Physicians Regional Medical Center - Pine Ridge,6101 Pine Ridge Road,Naples,FL,34119,FL - Fort Myers,5302,Level 2 Upper GI Procedures,54.0,58,21526.4729310344,1171.12051724137,930.576379310346
13338,100287,Good Samaritan Medical Center,1309 N Flagler Dr,West Palm Beach,FL,33401,FL - Fort Lauderdale,5302,Level 2 Upper GI Procedures,50.0,51,13331.7105882352,1265.25980392156,1004.00980392156
13378,100289,Cleveland Clinic Hospital,3100 Weston Rd,Weston,FL,33331,FL - Miami,5302,Level 2 Upper GI Procedures,216.0,292,6119.3571232877,1282.98030821918,1021.22438356164
13415,100290,"Villages Regional Hospital, The",1451 El Camino Real,The Villages,FL,32159,FL - Orlando,5302,Level 2 Upper GI Procedures,36.0,37,7314.7227027027,1210.23,964.25
13459,100292,Sacred Heart Hospital On The Emerald Coast,7800 Us Hwy 98 W,Miramar Beach,FL,32550,FL - Pensacola,5302,Level 2 Upper GI Procedures,24.0,24,11411.5154166666,1175.32166666666,923.411666666666
13494,100299,Lakewood Ranch Medical Center,8330 Lakewood Ranch Blvd,Bradenton,FL,34202,FL - Bradenton,5302,Level 2 Upper GI Procedures,33.0,35,10538.6857142857,1278.8,1018.88
13524,100307,St Vincent's Medical Center Southside,4201 Belfort Rd,Jacksonville,FL,32216,FL - Jacksonville,5302,Level 2 Upper GI Procedures,11.0,12,15829.8666666666,1239.55,987.61
13553,100315,Viera Hospital,8745 N Wickham Rd,Melbourne,FL,32940,FL - Orlando,5302,Level 2 Upper GI Procedures,68.0,89,13453.1513483146,1181.67932584269,933.354269662922
13582,100319,Florida Hospital Wesley Chapel,2600 Bruce B Downs Blvd,Wesley Chapel,FL,33544,FL - Tampa,5302,Level 2 Upper GI Procedures,28.0,31,20535.264516129,1234.19,983.34
13608,100321,St Vincents Medical Center - Clay County,1670 St Vincents Way,Middleburg,FL,32068,FL - Jacksonville,5302,Level 2 Upper GI Procedures,33.0,36,17524.1397222222,1239.55,987.61
13638,110001,Hamilton Medical Center,1200 Memorial Drive,Dalton,GA,30720,GA - Atlanta,5302,Level 2 Upper GI Procedures,131.0,137,8209.78496350365,1189.67605839416,942.556569343065
13656,110002,Upson Regional Medical Center,801 W Gordon Street,Thomaston,GA,30286,GA - Macon,5302,Level 2 Upper GI Procedures,,11,8660.08545454545,1341.06,1068.49
13672,110003,Memorial Satilla Health,1900 Tebeau Street,Waycross,GA,31501,FL - Jacksonville,5302,Level 2 Upper GI Procedures,41.0,55,8079.56254545454,1220.01999999999,972.05
13702,110005,Northside Hospital Forsyth,1200 Northside Forsyth Drive,Cumming,GA,30041,GA - Atlanta,5302,Level 2 Upper GI Procedures,107.0,117,11972.7692307692,1244.88427350427,989.132991452991
13765,110007,Phoebe Putney Memorial Hospital,417 Third Avenue,Albany,GA,31703,GA - Albany,5302,Level 2 Upper GI Procedures,118.0,133,7331.96714285713,1229.93187969924,975.884210526316
13795,110008,Northside Hospital Cherokee,450 Northside Cherokee Boulevard,Canton,GA,30115,GA - Atlanta,5302,Level 2 Upper GI Procedures,47.0,49,9240.62244897959,1215.63408163265,961.131632653061
13832,110010,Emory University Hospital,"1364 Clifton Road, Ne",Atlanta,GA,30322,GA - Atlanta,5302,Level 2 Upper GI Procedures,121.0,138,8088.44659420289,1220.40376811594,963.570797101449
13867,110011,Tanner Medical Center - Carrollton,705 Dixie Street,Carrollton,GA,30117,GA - Atlanta,5302,Level 2 Upper GI Procedures,37.0,54,9864.94962962963,1252.22796296296,994.332777777779
13883,110015,Tanner Medical Center Villa Rica,601 Dallas Highway,Villa Rica,GA,30180,GA - Atlanta,5302,Level 2 Upper GI Procedures,20.0,20,6786.5875,1152.394,897.894
13904,110016,Wellstar West Georgia Medical Center,1514 Vernon Road,Lagrange,GA,30240,GA - Atlanta,5302,Level 2 Upper GI Procedures,134.0,140,8249.8195,1223.67728571428,968.0855
13931,110023,Gordon Hospital,1035 Red Bud Road,Calhoun,GA,30701,GA - Rome,5302,Level 2 Upper GI Procedures,40.0,43,5917.51,1252.16,997.66
13952,110024,Candler Hospital,5353 Reynolds Street,Savannah,GA,31412,GA - Savannah,5302,Level 2 Upper GI Procedures,71.0,74,6125.39189189189,1118.3658108108,878.345810810812
13987,110025,Southeast Georgia Health System- Brunswick Campus,2415 Parkwood Drive,Brunswick,GA,31520,FL - Jacksonville,5302,Level 2 Upper GI Procedures,77.0,91,2581.56021978022,1168.90417582417,929.136923076922
14001,110026,Elbert Memorial Hospital,4 Medical Drive,Elberton,GA,30635,GA - Atlanta,5302,Level 2 Upper GI Procedures,11.0,11,4631.97,1235.05,984.02
14031,110028,University Hospital,1350 Walton Way,Augusta,GA,30901,GA - Augusta,5302,Level 2 Upper GI Procedures,104.0,115,5188.44556521739,1199.51530434782,953.683391304347
14070,110029,"Northeast Georgia Medical Center, Inc",743 Spring Street,Gainesville,GA,30501,GA - Atlanta,5302,Level 2 Upper GI Procedures,271.0,331,7513.56117824773,1256.97558912387,1000.38894259818
14098,110030,Cartersville Medical Center,960 Joe Frank Harris Parkway,Cartersville,GA,30120,GA - Atlanta,5302,Level 2 Upper GI Procedures,69.0,82,13487.4319512195,1241.8043902439,984.239146341466
14119,110031,Wellstar Spalding Regional Hospital,601 South 8th Street,Griffin,GA,30223,GA - Atlanta,5302,Level 2 Upper GI Procedures,40.0,60,6228.241,1241.7855,986.398500000001
14159,110034,Au Medical Center,1120 15th Street,Augusta,GA,30912,GA - Augusta,5302,Level 2 Upper GI Procedures,110.0,133,9320.09917293233,1147.732481203,900.334285714286
14207,110035,Wellstar Kennestone Hospital,677 Church Street,Marietta,GA,30060,GA - Atlanta,5302,Level 2 Upper GI Procedures,193.0,217,11120.7270046082,1243.6396313364,988.46497695853
14247,110036,"Memorial Health Univ Med Cen, Inc",4700 Waters Avenue,Savannah,GA,31403,GA - Savannah,5302,Level 2 Upper GI Procedures,107.0,117,7479.0886324786,1156.63589743589,917.641623931624
14279,110038,John D Archbold Memorial Hospital,915 Gordon Avenue & Mimosa Drive,Thomasville,GA,31792,FL - Tallahassee,5302,Level 2 Upper GI Procedures,111.0,122,5595.36081967213,1127.25311475409,893.223524590164
14293,110039,Trinity Hospital Of Augusta,2260 Wrightsboro Rd,Augusta,GA,30904,GA - Augusta,5302,Level 2 Upper GI Procedures,17.0,18,13094.475,1205.30833333333,958.415555555555
14305,110041,Habersham County Medical Ctr,541 Historic Highway 441-North,Demorest,GA,30535,GA - Atlanta,5302,Level 2 Upper GI Procedures,17.0,19,2503.59894736842,1088.58315789473,857.643157894736
14316,110042,Wellstar Paulding Hospital,2518 Jimmy Lee Smith Parkway,Hiram,GA,30141,GA - Atlanta,5302,Level 2 Upper GI Procedures,22.0,22,10388.24,1252.16,997.66
14351,110044,Phoebe Sumter Medical Center,126 Highway 280 W,Americus,GA,31719,GA - Albany,5302,Level 2 Upper GI Procedures,17.0,17,14681.0605882352,1131.66,901.65
14367,110046,Clearview  Regional Medical Center,2151 West Spring Street,Monroe,GA,30655,GA - Atlanta,5302,Level 2 Upper GI Procedures,28.0,32,8204.9965625,1252.16,997.66
14381,110051,Union General Hospital,35 Hospital Road,Blairsville,GA,30512,GA - Atlanta,5302,Level 2 Upper GI Procedures,44.0,45,2679.79511111111,1167.64,922.796666666666
14406,110054,Floyd Medical Center,304 Turner Mccall Blvd P O Box 233,Rome,GA,30162,GA - Rome,5302,Level 2 Upper GI Procedures,71.0,90,18885.0333333333,1230.02888888888,973.575222222224
14431,110064,Midtown Medical Center,710 Center St Box 951,Columbus,GA,31901,GA - Columbus,5302,Level 2 Upper GI Procedures,75.0,93,6826.47817204301,1145.06602150537,904.621827956989
14456,110069,Houston Medical Center,1601 Watson Boulevard,Warner Robins,GA,31093,GA - Macon,5302,Level 2 Upper GI Procedures,72.0,78,6128.30076923077,1197.52435897435,951.578461538461
14471,110073,Dorminy Medical Center,"200 Perry House Road, Box 1447",Fitzgerald,GA,31750,GA - Macon,5302,Level 2 Upper GI Procedures,14.0,14,10311.8578571428,1025.73214285714,804.672142857143
14493,110074,Piedmont Athens Regional Medical Center,1199 Prince Avenue,Athens,GA,30606,GA - Atlanta,5302,Level 2 Upper GI Procedures,75.0,86,8445.12476744186,1240.55930232558,986.059302325583
14522,110075,East Georgia Regional Medical Center,1499 Fair Road,Statesboro,GA,30458,GA - Savannah,5302,Level 2 Upper GI Procedures,137.0,159,15109.8332075471,1213.303081761,962.94893081761
14549,110076,Dekalb Medical Center,2701 N Decatur Road,Decatur,GA,30033,GA - Atlanta,5302,Level 2 Upper GI Procedures,54.0,56,4128.9775,1210.16535714285,953.165000000002
14583,110078,Emory University Hospital Midtown,"550 Peachtree Street,  Ne",Atlanta,GA,30308,GA - Atlanta,5302,Level 2 Upper GI Procedures,124.0,150,6125.0316,1241.33506666666,987.6834
14607,110079,Grady Memorial Hospital,"80 Jesse Hill, Jr Drive Se",Atlanta,GA,30303,GA - Atlanta,5302,Level 2 Upper GI Procedures,26.0,33,6596.99848484848,1252.16,997.66
14639,110082,"Saint Joseph's Hospital Of Atlanta, Inc",5665 Peachtree Dunwoody Road,Atlanta,GA,30342,GA - Atlanta,5302,Level 2 Upper GI Procedures,155.0,172,6188.21546511628,1252.17703488372,996.825872093023
14677,110083,Piedmont Hospital,1968 Peachtree Rd Nw,Atlanta,GA,30309,GA - Atlanta,5302,Level 2 Upper GI Procedures,148.0,157,9110.37063694261,1233.15242038216,975.854968152866
14723,110087,Gwinnett Medical Center,1000 Medical Center Boulevard,Lawrenceville,GA,30045,GA - Atlanta,5302,Level 2 Upper GI Procedures,174.0,196,7377.37765306122,1247.13275510204,989.490357142862
14749,110089,Coffee Regional Medical Center,1101 Ocilla Road,Douglas,GA,31533,FL - Jacksonville,5302,Level 2 Upper GI Procedures,17.0,18,6055.09222222222,1188.68111111111,944.041111111111
14770,110091,Piedmont Rockdale Hospital,"1412 Milstead Avenue, Ne",Conyers,GA,30012,GA - Atlanta,5302,Level 2 Upper GI Procedures,52.0,57,9806.8447368421,1217.15438596491,962.654385964914
14803,110095,Tift Regional Medical Center,901 E 18th Street,Tifton,GA,31793,FL - Tallahassee,5302,Level 2 Upper GI Procedures,88.0,98,6052.64530612245,1182.14408163265,940.066020408162
14821,110104,Crisp Regional Hospital,902 7th Street North,Cordele,GA,31015,GA - Macon,5302,Level 2 Upper GI Procedures,21.0,21,5024.60333333333,1219.43619047619,967.299523809524
